11.8986 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x0A1B8D28>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.8987 	EXP 	window1: recordFrameIntervals = False
12.0626 	EXP 	window1: recordFrameIntervals = True
12.2468 	EXP 	window1: recordFrameIntervals = False
12.7566 	EXP 	Set  sound=stim/audio_40Hz_L.wav
12.7585 	EXP 	Set  sound=stim/audio_55Hz_L.wav
12.7600 	EXP 	Set  sound=stim/audio_40Hz_R.wav
12.7626 	EXP 	Set  sound=stim/audio_55Hz_R.wav
12.7627 	EXP 	Set Sound  volume=1.000
12.7627 	EXP 	Set Sound  volume=1.000
12.7627 	EXP 	Set Sound  volume=1.000
12.7628 	EXP 	Set Sound  volume=1.000
13.0073 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'red', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
13.1706 	EXP 	Created select_eeg_system = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='select_eeg_system', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
13.2564 	EXP 	Created instr_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instr_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
13.3051 	EXP 	Created unnamed PatchStim = PatchStim(autoDraw=False, autoLog=True, color=array([-0.25, -0.25, -0.25]), colorSpace='rgb', contrast=1.0, depth=0, interpolate=False, mask='circle', maskParams=None, name='unnamed PatchStim', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.12,  0.12]), tex=None, texRes=128, units=u'norm', win=Window(...))
13.3609 	EXP 	Created end_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='end_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'This was the end - Thank you!', units=u'norm', win=Window(...), wrapWidth=1)
13.3983 	EXP 	select_eeg_system: autoDraw = True
14.0636 	DATA 	Keypress: 1
14.0829 	EXP 	select_eeg_system: autoDraw = False
14.0829 	EXP 	instr_text: autoDraw = True
14.7155 	DATA 	Keypress: space
14.7496 	EXP 	instr_text: autoDraw = False
15.8198 	EXP 	text_4: text = '1'
15.8198 	EXP 	text_4: text = u'1'
15.8703 	EXP 	text_4: text = '2'
15.8703 	EXP 	text_4: text = u'2'
16.8195 	EXP 	text_4: text = '3'
16.8195 	EXP 	text_4: text = u'3'
17.8177 	EXP 	text_4: text = '4'
17.8177 	EXP 	text_4: text = u'4'
18.8523 	EXP 	text_4: text = '5'
18.8523 	EXP 	text_4: text = u'5'
19.8253 	EXP 	text_4: text = '6'
19.8253 	EXP 	text_4: text = u'6'
20.8100 	EXP 	text_4: text = '5'
20.8100 	EXP 	text_4: text = u'5'
21.8082 	EXP 	text_4: text = '4'
21.8082 	EXP 	text_4: text = u'4'
22.9421 	EXP 	text_4: text = '3'
22.9421 	EXP 	text_4: text = u'3'
23.8084 	EXP 	text_4: text = '2'
23.8084 	EXP 	text_4: text = u'2'
24.7213 	EXP 	Sound  started
24.8244 	EXP 	text_4: text = '1'
24.8244 	EXP 	text_4: text = u'1'
25.8292 	EXP 	text_4: text = '0'
25.8292 	EXP 	text_4: text = u'0'
