none_sender: INITIALIZED
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 101
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 43
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 83
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 41
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 41
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 101
none_sender: sending: 81
none_sender: sending: 45
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 101
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 42
none_sender: sending: 81
none_sender: sending: 44
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 42
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 42
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 42
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 85
none_sender: sending: 100
none_sender: sending: 42
none_sender: sending: 100
none_sender: sending: 42
none_sender: sending: 100
none_sender: sending: 42
none_sender: sending: 100
none_sender: sending: 42
none_sender: sending: 100
none_sender: sending: 42
none_sender: sending: 46
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 101
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 51
none_sender: sending: 53
none_sender: sending: 101
none_sender: sending: 100
none_sender: sending: 51
none_sender: sending: 100
none_sender: sending: 84
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 51
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 51
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 51
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 51
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 51
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 55
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 101
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 101
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 86
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 52
none_sender: sending: 54
none_sender: sending: 100
none_sender: sending: 52
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 52
none_sender: sending: 100
none_sender: sending: 52
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 52
none_sender: sending: 100
none_sender: sending: 52
none_sender: sending: 101
none_sender: sending: 52
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 52
none_sender: sending: 133
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 52
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 101
none_sender: sending: 131
none_sender: sending: 52
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 52
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 52
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 52
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 56
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 100
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 131
none_sender: sending: 135
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 43
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 134
none_sender: sending: 132
none_sender: sending: 101
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 100
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 41
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 100
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 41
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 100
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 41
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 100
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
started audio thread...none_sender: sending: 132
none_sender: sending: 41
none_sender: sending: 100
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 101
none_sender: sending: 132
none_sender: sending: 41
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 100
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 41
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 100
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 132
none_sender: sending: 41
none_sender: sending: 132
none_sender: sending: 136
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 100
none_sender: sending: 41
none_sender: sending: 45
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 83
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 101
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 101
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 100
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 81
none_sender: sending: 85
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 42
none_sender: sending: 44
none_sender: sending: 100
none_sender: sending: 42
none_sender: sending: 100
none_sender: sending: 42
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 42
none_sender: sending: 100
none_sender: sending: 42
none_sender: sending: 101
none_sender: sending: 42
none_sender: sending: 100
none_sender: sending: 42
none_sender: sending: 84
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 42
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 42
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 42
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 42
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 42
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 101
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 42
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 42
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 100
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 42
none_sender: sending: 82
none_sender: sending: 82
none_sender: sending: 86
none_sender: sending: 46
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 101
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 100
none_sender: sending: 52
none_sender: sending: 54
none_sender: sending: 100
